time,title,summary,url,source,code,matched_keyword
2026-04-18 00:20:09,农业农村部召开生猪产业发展座谈会强调 要进一步完善生猪产能综合调控政策 采取有力有效举措推动猪价合理回升,【农业农村部召开生猪产业发展座谈会强调 要进一步完善生猪产能综合调控政策 采取有力有效举措推动猪价合理回升】农业农村部党组书记、部长韩俊4月17日主持召开生猪产业发展座谈会。会议强调，要进一步完善生猪产能综合调控政策，采取有力有效举措推动猪价合理回升。要加快淘汰低产高龄能繁母猪和体弱仔猪，严控新增产能，推动产能调控、环保监管等政策同向发力。要指导督促养殖企业顺势出栏，头部企业要带头落实产能去化要求，并结合环境保护、资产负债等约束盲目扩产。要释放积极政策信号，提振市场信心，减少二次育肥，防止无序出栏。要加密生猪生产监测预警，增强监测分析的前瞻性、调控目标的精准性、调控手段的有效性。要引导龙头企业通过订单养殖、托管代养等方式，带动合作农户发展标准化规模化养殖，支持中小养殖场户提升发展能力。,https://finance.eastmoney.com/a/202604183709439250.html,东方财富全球,,监管
2026-04-17 21:43:43,深交所：本周共对122起证券异常交易行为采取了自律监管措施,【深交所：本周共对122起证券异常交易行为采取了自律监管措施】深交所表示，本周共对122起证券异常交易行为采取了自律监管措施，涉及盘中拉抬打压、虚假申报等异常交易情形；共对2起上市公司重大事项进行核查。针对融资融券业务管理违规的情形，本所对一家会员采取了约见谈话的监管措施。,https://finance.eastmoney.com/a/202604173709305570.html,东方财富全球,,监管
2026-04-17 21:25:46,交易员目前认为美联储在12月前降息的可能性约为60%,交易员目前认为美联储在12月前降息的可能性约为60%。,https://finance.eastmoney.com/a/202604173709284747.html,东方财富全球,,降息
2026-04-17 21:06:57,货币市场将欧洲央行4月加息的概率从此前的15%下调至8%左右,货币市场将欧洲央行4月加息的概率从此前的15%下调至8%左右。市场预计欧洲央行12月存款利率为2.43%。,https://finance.eastmoney.com/a/202604173709268768.html,东方财富全球,,加息
2026-04-17 21:00:01,利率互换市场显示出鸽派转向,利率互换市场显示出鸽派转向，现定价到12月美联储将降息15个基点。,https://finance.eastmoney.com/a/202604173709260647.html,东方财富全球,,降息
2026-04-17 20:47:57,臻镭科技：因信披违规将被实施其他风险警示 股票停牌,【臻镭科技：因信披违规将被实施其他风险警示 股票停牌】臻镭科技(688270.SH)公告称，公司于4月17日收到证监会浙江监管局《行政处罚事先告知书》，因披露的年度报告财务指标存在虚假记载，根据相关规定，公司股票将被实施其他风险警示。,https://finance.eastmoney.com/a/202604173709247640.html,东方财富全球,,监管
2026-04-17 20:23:39,防范“内卷式”竞争冲击质量安全底线 市场监管总局将开展专项行动,【防范“内卷式”竞争冲击质量安全底线 市场监管总局将开展专项行动】2025年，为集中治理质量领域“内卷式”竞争，市场监管总局针对94种低价产品开展重点抽查，排查治理因低价内卷可能引发的低质问题。抽查结果显示，不合格率为29.3%，高出全年总体产品抽查不合格率17.2个百分点。,https://finance.eastmoney.com/a/202604173709227813.html,东方财富全球,,监管
2026-04-17 19:45:17,高盛称近期美股涨势若要延续 需要美联储重新转向降息,【高盛称近期美股涨势若要延续 需要美联储重新转向降息】高盛集团资产配置研究主管ChristianMueller-Glissmann表示，近期推动标普500指数和纳斯达克100指数双双创下纪录高位的股市涨势，若要延续动能，需要美联储重新转向降息。,https://finance.eastmoney.com/a/202604173709187960.html,东方财富全球,,降息
2026-04-17 19:21:47,证监会：拟将原本由风险管理子公司经营的期货做市交易、衍生品交易业务改由期货公司经营 并实施许可准入和行政监管,【证监会：拟将原本由风险管理子公司经营的期货做市交易、衍生品交易业务改由期货公司经营 并实施许可准入和行政监管】本次修订的主要内容包括：将境内子公司开展的金融业务全部收归期货公司经营。为落实法律规定并贯彻金融业务只能由持牌机构开展的精神，将原本由风险管理子公司经营、期货业协会备案准入和自律管理的期货做市交易、衍生品交易业务，改由期货公司经营，并实施许可准入和行政监管，明确期货做市交易等业务活动的基本规则。,https://finance.eastmoney.com/a/202604173709154435.html,东方财富全球,,监管
2026-04-17 19:19:36,俄罗斯宣布4月22日至29日小麦出口关税为零,俄罗斯宣布4月22日至29日小麦出口关税为零。,https://finance.eastmoney.com/a/202604173709151761.html,东方财富全球,,关税
2026-04-17 19:18:09,证监会就《期货公司监督管理办法（征求意见稿）》及配套实施规定公开征求意见,【证监会就《期货公司监督管理办法（征求意见稿）》及配套实施规定公开征求意见】在2023年3月公开征求意见的基础上，中国证监会结合期货行业监管实践中面临的新情况、新问题，对《期货公司监督管理办法》的相关制度安排做了进一步研究论证，形成了新的《期货公司监督管理办法（征求意见稿）》，同步起草了《关于实施＜期货公司监督管理办法＞有关事项的公告（征求意见稿）》作为配套实施规定。,https://finance.eastmoney.com/a/202604173709153858.html,东方财富全球,,监管
2026-04-17 19:10:16,阿里云：受短信服务综合成本显著上涨影响 5月20日起调整国内短信服务产品价格,【阿里云：受短信服务综合成本显著上涨影响，5月20日起调整国内短信服务产品价格】阿里云公告，在国内短信加强安全合规监管背景下，受短信服务综合成本显著上涨影响。经审慎评估，将于5月20日起，对国内短信服务产品进行价格调整，包括国内短信按量付费和国内短信通用套餐包。,https://finance.eastmoney.com/a/202604173709144633.html,东方财富全球,,监管
2026-04-17 18:51:51,5连板博云新材：股东高创投4月14日至4月16日减持407.2万股 持股比例降至5%以下,【5连板博云新材：股东高创投4月14日至4月16日减持407.2万股 持股比例降至5%以下】博云新材(002297.SZ)公告称，高创投于2026年4月14日至4月16日期间，通过集中竞价交易方式减持公司股份407.2万股，占公司总股本的0.71%。本次权益变动后，高创投持有公司股份2865.52万股，占公司总股本的4.999993%，不再是公司持股5%以上的股东。,https://finance.eastmoney.com/a/202604173709105782.html,东方财富全球,,减持
